Sample ID,Cohort,Cage,Ear,Diet,%P/%C/%F,%Glucose/%Fructose,in.P,in.F,in.C,in.Glu,in.Fru,in.Glustar,food.intake ,eaten.P,eaten.F,eaten.C,eaten.Glu,eaten.Fru,eaten.Glustar ,energy.eaten,,food.eaten ,energy.in,Water.Wk.12,,Water.Wk.12,Weight.Wk.12,Fat.Mass.Wk.12,Lean.Mass.Wk.12,Water.Mass.Wk.12,Fat.Percentage.Wk.12,Lean.Percentage.Wk.12,Water.Percentage.Wk.12,Fasting.blood.glucose,GTT.total.AUC,GTT.incremental.AUC,Fasting.Blood.Insulin,Fed.Blood.Insulin,HOMA.IR,ITT.total.AUC.45,ITT.total.AUC
7.4,1,7,4,G-2/S-2,20/60/20,75/25,2.86,2.86,8.53,4.5,1.5,7.02,3.12,8.92,8.93,26.6,14.05,4.68,21.91,44.45,,,,,,3.78,27.6,3.21,23.35,20.25,11.63043478,84.60144928,73.36956522,6.4,930.75,354.75,0.175899836,0.682003155,1.12576,172.5,
8.1,1,8,1,G-2/S-3,20/60/20,50/50,2.86,2.86,8.53,3,3,5.52,3.71,10.61,10.61,31.62,11.13,11.13,20.49,52.84,,3.71,52.84,4.6,,4.6,34.7,6.11,27.39,23.57,17.60806916,78.93371758,67.92507205,8.7,1317,534,1.222535198,3.025665063,10.6360545,452.3,876.8
8.2,1,8,2,G-2/S-3,20/60/20,50/50,2.86,2.86,8.53,3,3,5.52,3.71,10.61,10.61,31.62,11.13,11.13,20.49,52.84,,,,,,4.6,42.2,15.83,25.19,21.86,37.51184834,59.69194313,51.80094787,14.2,1408.5,130.5,1.957746459,3.83818476,27.7999932,534,1099.5
8.3,1,8,3,G-2/S-3,20/60/20,50/50,2.86,2.86,8.53,3,3,5.52,3.71,10.61,10.61,31.62,11.13,11.13,20.49,52.84,,,,,,4.6,44.4,15.87,26.99,23.15,35.74324324,60.78828829,52.13963964,14,1596,336,4.134272279,4.389984227,57.879808,546.8,1095.8
8.4,1,8,4,G-2/S-3,20/60/20,50/50,2.86,2.86,8.53,3,3,5.52,3.71,10.61,10.61,31.62,11.13,11.13,20.49,52.84,,,,,,4.6,30.4,3.24,25.73,22.13,10.65789474,84.63815789,72.79605263,10.3,1538.25,611.25,0.665727729,0.956494484,6.8569984,366,702.8
9.1,1,9,1,G-2/S-4,20/60/20,25/75,2.86,2.86,8.53,1.5,4.5,4.02,3.27,9.36,9.36,27.89,4.91,14.73,13.16,46.61,,3.27,46.61,4.45,,4.45,35.4,10.09,23.92,20.31,28.50282486,67.57062147,57.37288136,10.2,1632,714,1.488262965,1.591549326,15.1802826,501,995.3
9.2,1,9,2,G-2/S-4,20/60/20,25/75,2.86,2.86,8.53,1.5,4.5,4.02,3.27,9.36,9.36,27.89,4.91,14.73,13.16,46.61,,,,,,4.45,34.5,7.52,25.71,22.17,21.79710145,74.52173913,64.26086957,9.3,1336.5,499.5,1.341784038,1.573082893,12.4785912,420.8,848.3
9.3,1,9,3,G-2/S-4,20/60/20,25/75,2.86,2.86,8.53,1.5,4.5,4.02,3.27,9.36,9.36,27.89,4.91,14.73,13.16,46.61,,,,,,4.45,34,7.73,25.04,21.66,22.73529412,73.64705882,63.70588235,9.8,1089,207,0.640375607,1.825352137,6.2756848,467.3,967.5
9.4,1,9,4,G-2/S-4,20/60/20,25/75,2.86,2.86,8.53,1.5,4.5,4.02,3.27,9.36,9.36,27.89,4.91,14.73,13.16,46.61,,,,,,4.45,40.8,10.68,28.44,24.82,26.17647059,69.70588235,60.83333333,9.1,1140.75,321.75,1.900469473,3.066353675,17.2942679,500.3,954
10.1,1,10,1,G-2/S-5,20/60/20,0/100,2.86,2.86,8.53,0,6.01,2.52,2.86,8.19,8.19,24.4,0,17.19,7.21,40.78,,2.86,40.78,3.9,,3.9,28.3,5.04,22.32,19.17,17.80918728,78.86925795,67.7385159,7.2,963.75,315.75,,0.531768388,,325.5,572.3
10.2,1,10,2,G-2/S-5,20/60/20,0/100,2.86,2.86,8.53,0,6.01,2.52,2.86,8.19,8.19,24.4,0,17.19,7.21,40.78,,,,,,3.9,26.4,1.07,24.24,20.97,4.053030303,91.81818182,79.43181818,9.2,1258.5,430.5,0.721439789,1.239123665,6.637248,392.3,850.5
10.3,1,10,3,G-2/S-5,20/60/20,0/100,2.86,2.86,8.53,0,6.01,2.52,2.86,8.19,8.19,24.4,0,17.19,7.21,40.78,,,,,,3.9,35,6.52,27.41,23.54,18.62857143,78.31428571,67.25714286,9.8,1155.75,273.75,1.56275422,3.47887341,15.3149892,417,874.5
10.4,1,10,4,G-2/S-5,20/60/20,0/100,2.86,2.86,8.53,0,6.01,2.52,2.86,8.19,8.19,24.4,0,17.19,7.21,40.78,,,,,,3.9,25.1,1.89,21.85,18.83,7.529880478,87.05179283,75.01992032,9.3,1070.25,233.25,0.368075098,0.545226912,3.4230975,302.3,531
11.1,1,11,1,G-3/S-1,30/50/20,100/0,4.29,2.86,7.1,5.01,0,7.1,2.87,12.32,8.22,20.37,14.37,0,20.37,40.91,,2.87,40.91,4.74,,4.74,28.6,2.5,24.64,21.31,8.741258741,86.15384615,74.51048951,8.6,1101,327,0.668464548,0.764832785,5.748795112,366,716.3
11.2,1,11,2,G-3/S-1,30/50/20,100/0,4.29,2.86,7.1,5.01,0,7.1,2.87,12.32,8.22,20.37,14.37,0,20.37,40.91,,,,,,4.74,27.7,1.9,24.25,20.26,6.859205776,87.54512635,73.14079422,9.2,1084.5,256.5,0.631787116,0.644012927,5.812441466,313.5,615.8
11.3,1,11,3,G-3/S-1,30/50/20,100/0,4.29,2.86,7.1,5.01,0,7.1,2.87,12.32,8.22,20.37,14.37,0,20.37,40.91,,,,,,4.74,34,4.55,27.97,24.4,13.38235294,82.26470588,71.76470588,9.6,1269.75,405.75,1.1370011,1.307802914,10.91521056,321,553.5
